geometry,n,model,form,a,a_lo,a_hi,alpha,alpha_se,beta,beta_se,r2_log,adj_r2_log,rmse_log,rmse_rel,aic,bic,loco_rmse_log,n_params,n_points
open_path,4,M4,a·σ_log^α·(L/√A)^β,0.3097169707274063,0.22545377030839453,0.42547348764825427,1.1478338722060584,0.1602511167025897,0.5362984260415843,0.09840634302782814,0.9310386593723837,0.9080515458298449,0.15888550754522354,0.16665684944251546,-1.5713918628615522,-0.9797181308528939,0.23278357675332778,3,9
open_path,4,M5,"a·CV/√N_eff,lognormal",0.31814038648364484,0.2728949117999494,0.3708874776901636,,,,,0.8661249983809485,0.8661249983809485,0.2213763294547599,0.2292548749266877,0.39885240349403395,0.5960769808302535,0.2490483706366048,1,9
open_path,4,M6,"a·σ_log/√N_eff,lognormal",0.40111736727799746,0.3310187529012633,0.4860605053998977,,,,,0.7901181274606557,0.7901181274606557,0.2771844756120162,0.276390989638226,4.445597282317928,4.6428218596541475,0.31183253506351816,1,9
point,1,M0,a·CV,0.19516037406264883,0.15775943378463242,0.241428171302065,,,,,0.6583644580498381,0.6583644580498381,0.3070147247061871,0.2977288277145385,6.285421349693672,6.482645927029891,0.34539156529446047,1,9
point,1,M1,a·L/√A,0.8409205600003383,0.547720551680442,1.2910733147801534,,,,,-0.38737620967567366,-0.38737620967567366,0.6186924319809963,0.7257782713333578,18.89824744197896,19.095472019315178,0.6960289859786207,1,9
point,1,M2,a·CV·L/√A,0.8409205600003383,0.6162884252646021,1.1474292867461697,,,,,0.2709882483741647,0.2709882483741647,0.44848192723950425,0.435981186231131,13.106929500190216,13.304154077526436,0.5045421681444422,1,9
point,1,M3,a·CV^α·(L/√A)^β,0.33849311433040474,0.2616935989158311,0.437831070090286,0.7835515873582783,0.09541946217683082,0.3770050787227036,0.0819277878098363,0.9365795268241605,0.9154393690988806,0.13227946235683324,0.13886054775481238,-4.870198597888232,-4.278524865879573,0.18780946192329037,3,9
point,1,M4,a·σ_log^α·(L/√A)^β,0.4365434336707694,0.33701384859270744,0.5654668800016461,1.0976125168666238,0.13058734603541924,0.3770050787227035,0.08019053741076043,0.939240628999466,0.9189875053326214,0.12947452211723662,0.13583119060661522,-5.255987239222389,-4.6643135072137305,0.18708181820833417,3,9
point,1,M5,"a·CV/√N_eff,lognormal",0.5725138965959028,0.4760942184843521,0.6884607060318608,,,,,0.7432890836773173,0.7432890836773173,0.2661336869175446,0.25661646967851787,3.7132763446781447,3.9105009220143643,0.29940039778223765,1,9
point,1,M6,"a·σ_log/√N_eff,lognormal",0.7218362606233332,0.5858771875137098,0.88934609207409,,,,,0.6712861480448046,0.6712861480448046,0.30115264707679024,0.2904367454276229,5.938409424230106,6.135634001566325,0.338796727961389,1,9
point,2,M0,a·CV,0.13510442482668805,0.11401351666319776,0.16009685642511304,,,,,0.747294090590838,0.747294090590838,0.2449345564203184,0.2440612872182194,2.2191376238028875,2.4163622011391075,0.2755513759728581,1,9
point,2,M1,a·L/√A,0.582147319246843,0.3744334841565594,0.905088662328569,,,,,-0.7083600613434669,-0.7083600613434669,0.6368425425404884,0.7721802341312662,19.418702478941302,19.61592705627752,0.7164478603580495,1,9
point,2,M2,a·CV·L/√A,0.582147319246843,0.4181005615919664,0.8105597849854633,,,,,0.038934029247371105,0.038934029247371105,0.4776600972530322,0.49985595066923005,14.241487522773898,14.438712100110118,0.5373676094096613,1,9
point,2,M3,a·CV^α·(L/√A)^β,0.21139071548906144,0.18921089984262077,0.2361705093741727,0.7769405909771162,0.041102396390407525,0.3064747391794406,0.035290792183554645,0.9863239564660375,0.98176527528805,0.056980020344536496,0.057361720934403754,-20.03008907389428,-19.438415341885623,0.0821462176331955,3,9
point,2,M4,a·σ_log^α·(L/√A)^β,0.2719658832425853,0.2440387683265386,0.30308889917420545,1.0871895159714167,0.05467949822004152,0.3064747391794403,0.03357736014044243,0.9876197117125407,0.9834929489500542,0.05421353688993698,0.05458551152216979,-20.925949987187607,-20.33427625517895,0.08095971095806925,3,9
point,2,M5,"a·CV/√N_eff,lognormal",0.39633640320880603,0.32920023658695324,0.4771641300658733,,,,,0.6978408147758208,0.6978408147758208,0.2678306424388053,0.2537315624937435,3.827685868080085,4.024910445416305,0.30130947274365594,1,9
point,2,M6,"a·σ_log/√N_eff,lognormal",0.499708372045119,0.405547128936856,0.615732276903538,,,,,0.6176135932631424,0.6176135932631424,0.3012961521614471,0.28173954761772596,5.9469847307987145,6.144209308134934,0.3389581711816279,1,9
point,3,M0,a·CV,0.11677514429599205,0.0898661284277844,0.15174164686874078,,,,,0.5899693743986016,0.5899693743986016,0.3779834118420468,0.36148890130580696,10.028604167541964,10.225828744878184,0.4252313383223026,1,9
point,3,M1,a·L/√A,0.5031688436095281,0.3368020638732566,0.7517141738021667,,,,,0.03690500841709998,0.03690500841709998,0.5792941664273917,0.6527829152475719,17.713885920267984,17.911110497604202,0.6517059372308156,1,9
point,3,M2,a·CV·L/√A,0.5031688436095281,0.39192169626416384,0.6459935430793338,,,,,0.6268743828157017,0.6268743828157017,0.36057210587187444,0.35334331851868267,9.179753730231592,9.37697830756781,0.40564361910585867,1,9
point,3,M3,a·CV^α·(L/√A)^β,0.247696351257055,0.1915619630215644,0.3202800882717605,0.8208994663923482,0.09529445660410117,0.5147983523525671,0.0818204571898139,0.9499139245458286,0.9332185660611048,0.13210616783624957,0.13688338169636652,-4.8937952042162145,-4.302121472207556,0.1922889123588197,3,9
