run,L_m,CV,seed,n,geometry,covariance_model,source_dx_m,source_nx,source_ny,domain_area_m2,path_length_total_m,path_length_each_m,Q_true_kg_s,Q_true_recomputed_kg_s,Q_prior_kg_s,Q_hat_kg_s,posterior_sigma_kg_s,e_signed,e_abs,converged,n_iter,method,n_obs,n_state,dof,dfs,prior_influence,ak_diag,chi2,chi2_per_dof,sigma_repr_mean_ng_m3,inverse_crime_flag,total_only,inversion_template,n_fine_cells,state_units,obs_units,jacobian_units,nature_run,E_Q_reported
source_heterogeneity_les_rice_paddy_l500_cv0p5_s7_wind3_n1_op,500.0,0.5,7,1,open_path,exponential,40.0,25,25,1000000.0,1000.0,1000.0,0.027778,0.027778,0.0,0.03436407140821422,0.010876612596965455,0.2370966739223206,0.2370966739223206,True,1,nonnegative,1,1,0,0.9998816992984155,0.00011830070158447281,0.9998816992984155,1.3971657352645977e-07,,36833.462887422305,False,True,uniform,625,kg s-1,ng m-3,ng m-3 / (kg s-1),source_heterogeneity_les_rice_paddy_l500_cv0p5_s7_wind3_surface,0.2370966739223206
source_heterogeneity_les_rice_paddy_l100_cv1p0_s0_wind3_n1_op,100.0,1.0,0,1,open_path,exponential,40.0,25,25,1000000.0,1000.0,1000.0,0.027778,0.027778000000000004,0.0,0.02693875256821519,0.010876612596965455,-0.030212665842926437,0.030212665842926437,True,1,nonnegative,1,1,0,0.9998816992984155,0.00011830070158447281,0.9998816992984155,8.586054942960935e-08,,36833.462887422305,False,True,uniform,625,kg s-1,ng m-3,ng m-3 / (kg s-1),source_heterogeneity_les_rice_paddy_l100_cv1p0_s0_wind3_surface,0.030212665842926558
source_heterogeneity_les_rice_paddy_l100_cv1p0_s1_wind3_n1_op,100.0,1.0,1,1,open_path,exponential,40.0,25,25,1000000.0,1000.0,1000.0,0.027778,0.027777999999999997,0.0,0.029752703507184296,0.010876612596965455,0.07108875754857426,0.07108875754857426,True,1,nonnegative,1,1,0,0.9998816992984155,0.00011830070158447281,0.9998816992984155,1.0473493547159903e-07,,36833.462887422305,False,True,uniform,625,kg s-1,ng m-3,ng m-3 / (kg s-1),source_heterogeneity_les_rice_paddy_l100_cv1p0_s1_wind3_surface,0.0710887575485744
source_heterogeneity_les_rice_paddy_l100_cv1p0_s2_wind3_n1_op,100.0,1.0,2,1,open_path,exponential,40.0,25,25,1000000.0,1000.0,1000.0,0.027778,0.027778000000000004,0.0,0.02510046556038534,0.010876612596965455,-0.09639046870237812,0.09639046870237812,True,1,nonnegative,1,1,0,0.9998816992984155,0.00011830070158447281,0.9998816992984155,7.454220824766398e-08,,36833.462887422305,False,True,uniform,625,kg s-1,ng m-3,ng m-3 / (kg s-1),source_heterogeneity_les_rice_paddy_l100_cv1p0_s2_wind3_surface,0.09639046870237823
source_heterogeneity_les_rice_paddy_l100_cv1p0_s3_wind3_n1_op,100.0,1.0,3,1,open_path,exponential,40.0,25,25,1000000.0,1000.0,1000.0,0.027778,0.027778000000000004,0.0,0.025120356936153353,0.010876612596965455,-0.09567438490340009,0.09567438490340009,True,1,nonnegative,1,1,0,0.9998816992984155,0.00011830070158447281,0.9998816992984155,7.466040004696283e-08,,36833.462887422305,False,True,uniform,625,kg s-1,ng m-3,ng m-3 / (kg s-1),source_heterogeneity_les_rice_paddy_l100_cv1p0_s3_wind3_surface,0.0956743849034002
source_heterogeneity_les_rice_paddy_l100_cv1p0_s4_wind3_n1_op,100.0,1.0,4,1,open_path,exponential,40.0,25,25,1000000.0,1000.0,1000.0,0.027778,0.027778,0.0,0.02928251326503256,0.010876612596965455,0.054162044244818235,0.054162044244818235,True,1,nonnegative,1,1,0,0.9998816992984155,0.00011830070158447281,0.9998816992984155,1.0145078176632651e-07,,36833.462887422305,False,True,uniform,625,kg s-1,ng m-3,ng m-3 / (kg s-1),source_heterogeneity_les_rice_paddy_l100_cv1p0_s4_wind3_surface,0.054162044244818235
source_heterogeneity_les_rice_paddy_l100_cv1p0_s5_wind3_n1_op,100.0,1.0,5,1,open_path,exponential,40.0,25,25,1000000.0,1000.0,1000.0,0.027778,0.027777999999999997,0.0,0.023649171378712603,0.010876612596965455,-0.14863664127321613,0.14863664127321613,True,1,nonnegative,1,1,0,0.9998816992984155,0.00011830070158447281,0.9998816992984155,6.61714357183464e-08,,36833.462887422305,False,True,uniform,625,kg s-1,ng m-3,ng m-3 / (kg s-1),source_heterogeneity_les_rice_paddy_l100_cv1p0_s5_wind3_surface,0.14863664127321602
source_heterogeneity_les_rice_paddy_l100_cv1p0_s6_wind3_n1_op,100.0,1.0,6,1,open_path,exponential,40.0,25,25,1000000.0,1000.0,1000.0,0.027778,0.027778000000000004,0.0,0.02543786957560302,0.010876612596965455,-0.08424402132612074,0.08424402132612074,True,1,nonnegative,1,1,0,0.9998816992984155,0.00011830070158447281,0.9998816992984155,7.655969122126406e-08,,36833.462887422305,False,True,uniform,625,kg s-1,ng m-3,ng m-3 / (kg s-1),source_heterogeneity_les_rice_paddy_l100_cv1p0_s6_wind3_surface,0.08424402132612085
source_heterogeneity_les_rice_paddy_l100_cv1p0_s7_wind3_n1_op,100.0,1.0,7,1,open_path,exponential,40.0,25,25,1000000.0,1000.0,1000.0,0.027778,0.027778,0.0,0.02800156509365857,0.010876612596965455,0.008048278985476599,0.008048278985476599,True,1,nonnegative,1,1,0,0.9998816992984155,0.00011830070158447281,0.9998816992984155,9.276909347486906e-08,,36833.462887422305,False,True,uniform,625,kg s-1,ng m-3,ng m-3 / (kg s-1),source_heterogeneity_les_rice_paddy_l100_cv1p0_s7_wind3_surface,0.008048278985476599
source_heterogeneity_les_rice_paddy_l250_cv1p0_s0_wind3_n1_op,250.0,1.0,0,1,open_path,exponential,40.0,25,25,1000000.0,1000.0,1000.0,0.027778,0.027778000000000004,0.0,0.02690047527751761,0.010876612596965455,-0.0315906372842678,0.0315906372842678,True,1,nonnegative,1,1,0,0.9998816992984155,0.00011830070158447281,0.9998816992984155,8.561672415950927e-08,,36833.462887422305,False,True,uniform,625,kg s-1,ng m-3,ng m-3 / (kg s-1),source_heterogeneity_les_rice_paddy_l250_cv1p0_s0_wind3_surface,0.03159063728426792
