geometry,n,CV,L_m,sigma_rep_pred,cover68_reported,cover95_reported,cover68_widened,cover95_widened,logscore_reported,logscore_widened
open_path,3,0.5,250.0,0.06805900925160327,1.0,1.0,1.0,1.0,4.0884018550644,4.0500069067823015
open_path,3,0.5,500.0,0.08300392532829459,0.875,1.0,1.0,1.0,3.992052782352805,3.946606962638484
open_path,3,1.0,100.0,0.0671715584378392,1.0,1.0,1.0,1.0,4.061712603291014,4.026284247933953
open_path,3,1.0,250.0,0.11565743143791936,1.0,1.0,1.0,1.0,4.0280740740758665,3.936078173683024
open_path,3,1.0,500.0,0.15410318053729402,0.875,1.0,0.875,1.0,3.7683340940132033,3.6927541271267854
open_path,3,2.0,100.0,0.10773855632281856,0.875,1.0,0.875,1.0,3.9097023918849008,3.8494576586688836
open_path,3,2.0,250.0,0.2210145791004399,0.875,1.0,0.875,1.0,3.8490406048740304,3.6557014804111554
open_path,3,2.0,500.0,0.2827446773171587,0.5,0.875,0.875,1.0,3.3181006990015716,3.3397209562690886
open_path,4,0.5,100.0,0.038335147660943564,1.0,1.0,1.0,1.0,4.2155546626059355,4.1994892976016285
open_path,4,0.5,250.0,0.06864137244539827,1.0,1.0,1.0,1.0,4.206345867389196,4.157471338351861
open_path,4,0.5,500.0,0.08383098807823135,0.875,1.0,0.875,1.0,4.045974351339741,3.997256677171709
open_path,4,1.0,100.0,0.06670782258400419,1.0,1.0,1.0,1.0,4.180749263798637,4.136870181349018
open_path,4,1.0,250.0,0.11567239538001577,1.0,1.0,1.0,1.0,4.145893290087086,4.032270038219675
open_path,4,1.0,500.0,0.15390569081556452,0.625,0.875,0.875,1.0,3.740140086335169,3.6976002731041424
open_path,4,2.0,100.0,0.10582322050571268,0.875,1.0,0.875,1.0,4.005014140476315,3.937422684873579
open_path,4,2.0,250.0,0.22015248243391328,0.75,1.0,0.875,1.0,3.9407414048163307,3.7208373331773426
open_path,4,2.0,500.0,0.27757634769240125,0.5,0.875,0.75,1.0,3.13437613417427,3.329428586291494
point,1,0.5,100.0,0.07967026702307856,1.0,1.0,1.0,1.0,3.6771957152657464,3.653739229192731
point,1,0.5,250.0,0.1251937867645625,1.0,1.0,1.0,1.0,3.671271768755782,3.615886629771359
point,1,0.5,500.0,0.14247486344335036,0.875,1.0,1.0,1.0,3.566951257655347,3.510896266435706
point,1,1.0,100.0,0.13622438473145868,1.0,1.0,1.0,1.0,3.6146313236878855,3.5570107581191497
point,1,1.0,250.0,0.2042042632332344,1.0,1.0,1.0,1.0,3.581440879221832,3.468229873153449
point,1,1.0,500.0,0.24667390675455123,0.75,1.0,0.875,1.0,3.320049849240165,3.247535225809355
point,1,2.0,100.0,0.2266766287947585,0.75,1.0,0.875,1.0,3.422135475210446,3.3321538443152905
point,1,2.0,250.0,0.3764919121386244,0.75,1.0,0.875,1.0,3.3561763770126,3.1621589179447813
point,1,2.0,500.0,0.42522734703089776,0.5,0.875,0.75,1.0,2.812160274066296,2.892276572097916
point,2,0.5,100.0,0.061530476257654634,1.0,1.0,1.0,1.0,3.8751316954268784,3.8543234174355003
point,2,0.5,250.0,0.0825949681299856,1.0,1.0,1.0,1.0,3.8669398696608064,3.830673798818857
point,2,0.5,500.0,0.0979406412744452,1.0,1.0,1.0,1.0,3.784580516247516,3.7429087158248953
point,2,1.0,100.0,0.10272379361568154,1.0,1.0,1.0,1.0,3.8457810046674443,3.7931419409236096
point,2,1.0,250.0,0.13881535841560583,1.0,1.0,1.0,1.0,3.817200211293665,3.7302613189117855
point,2,1.0,500.0,0.16545170088681038,0.875,1.0,0.875,1.0,3.636860248140369,3.562358192337111
point,2,2.0,100.0,0.170297171373514,0.875,1.0,0.875,1.0,3.7224709822774678,3.6213079591965647
point,2,2.0,250.0,0.24633368868594016,0.875,1.0,1.0,1.0,3.665230675359947,3.494421483100491
point,2,2.0,500.0,0.29390916623342445,0.625,0.875,0.875,1.0,3.352915112394811,3.2812640243382623
point,3,0.5,100.0,0.04235943447628316,1.0,1.0,1.0,1.0,4.030389783834812,4.016879941686455
point,3,0.5,250.0,0.07311051595804477,1.0,1.0,1.0,1.0,4.026327724961817,3.987440215216983
