run,Q_pred_no_transport_error_kg_s,e_pure_representativeness,e_transport
source_heterogeneity_les_rice_paddy_l250_cv2p0_s5_wind3_n1_op,0.017164717759057785,-0.3820751040730872,0.010737336882946091
source_heterogeneity_les_rice_paddy_l250_cv2p0_s6_wind3_n1_op,0.02259416452744104,-0.18661658407944998,0.08025120013551927
source_heterogeneity_les_rice_paddy_l250_cv2p0_s7_wind3_n1_op,0.02580568994428279,-0.07100259398506768,0.10001046744085058
source_heterogeneity_les_rice_paddy_l500_cv2p0_s0_wind3_n1_op,0.024498194798440814,-0.11807204267978927,-0.07387885304502892
source_heterogeneity_les_rice_paddy_l500_cv2p0_s1_wind3_n1_op,0.03857518022192647,0.3886953784263255,-0.06305312857032264
source_heterogeneity_les_rice_paddy_l500_cv2p0_s2_wind3_n1_op,0.03551761954779693,0.27862407472809175,0.014027487214360534
source_heterogeneity_les_rice_paddy_l500_cv2p0_s3_wind3_n1_op,0.02490885373055023,-0.10328843939267661,0.09499157626946521
source_heterogeneity_les_rice_paddy_l500_cv2p0_s4_wind3_n1_op,0.019778714476687765,-0.28797197506343997,-0.008293473516512606
source_heterogeneity_les_rice_paddy_l500_cv2p0_s5_wind3_n1_op,0.0209601881395125,-0.2454392634634423,0.0648483145372695
source_heterogeneity_les_rice_paddy_l500_cv2p0_s6_wind3_n1_op,0.02952344172143593,0.06283539928849913,-0.04660185854589953
source_heterogeneity_les_rice_paddy_l500_cv2p0_s7_wind3_n1_op,0.04763248139951394,0.7147556123376031,-0.06421438148952452
source_heterogeneity_les_rice_paddy_l100_cv0p5_s0_wind3_n2_op,0.027935097091971037,0.005655450067356787,0.004604224178356713
source_heterogeneity_les_rice_paddy_l100_cv0p5_s1_wind3_n2_op,0.028682942018832053,0.03257765205673745,0.02814209585898305
source_heterogeneity_les_rice_paddy_l100_cv0p5_s2_wind3_n2_op,0.025444458209877757,-0.08400683238974165,0.04822714088336175
source_heterogeneity_les_rice_paddy_l100_cv0p5_s3_wind3_n2_op,0.02645443229211928,-0.047648056299255545,0.0009241259332628468
source_heterogeneity_les_rice_paddy_l100_cv0p5_s4_wind3_n2_op,0.02768153686861171,-0.003472644948818872,0.035580038568404276
