geometry,n,CV,L_m,m_realizations,bias,bias_se,bias_p,MAE,RMSE,sigma_rep,sigma_rep_lo,sigma_rep_hi,sigma_rep_chi2_lo,sigma_rep_chi2_hi,bias_pure,sigma_rep_pure,RMSE_pure,sd_pred_loglinear,sampler
open_path,1,0.75,250.0,20,0.01394491535986602,0.028676983082420785,0.6323332173904028,0.10065045659267305,0.12577550826720335,0.12824736712380866,0.0848905421350459,0.1571704856623968,0.0975308907957534,0.18731446682800337,-0.006083325513109165,0.14223261393162812,0.13876461181378644,0.16871077379299257,circulant
open_path,1,0.75,300.0,20,0.01437876361790126,0.029518444159905212,0.631751876328592,0.10409930046258853,0.12946884262241198,0.13201049546315946,0.08738750085116255,0.1628131212651035,0.10039271375046022,0.19281078534353557,-0.005238542414741668,0.147268433864849,0.143635073568353,0.1744711347185251,circulant
open_path,1,0.75,400.0,20,-0.0029197524650978316,0.031809349067030916,0.9278264495672011,0.11026789492330666,0.1386844765204586,0.14225573366780128,0.09904720609234205,0.17477614110936904,0.10818411899271177,0.2077746896705204,-0.017737798842552947,0.1594638408559114,0.15643500318430123,0.17884148610761544,cholesky
open_path,1,0.75,500.0,20,0.0018418535934762973,0.03341354044233245,0.9566160142954832,0.1161542288284227,0.14565789177932012,0.1494298955959875,0.102613237265014,0.18418046075654695,0.11364000022646448,0.21825306709575554,-0.011402027614842164,0.16815250735678675,0.16429092694846278,0.1782794460644678,cholesky
open_path,1,1.0,100.0,20,0.008257110975381947,0.024396707641556655,0.7387341230641212,0.08364779869857294,0.10666286801349363,0.10910539342741851,0.07174116704670148,0.13567940225692107,0.08297360367113359,0.15935624298771575,-0.016755602686023083,0.11426790853850453,0.11262791570941769,0.14540765751726872,circulant
open_path,1,1.0,150.0,20,0.010415102781674871,0.03004778648848083,0.7326875918624582,0.10578118881735751,0.13138871469895022,0.13437778632328568,0.09033019201271424,0.16488049971419566,0.10219301571017111,0.1962683832282802,-0.013209760197600428,0.1435598090787925,0.14054695161432887,0.17775329072565033,circulant
open_path,1,1.0,200.0,20,0.011774019837935695,0.03353254806362781,0.7293601479373734,0.1183588186767269,0.14663843751313904,0.14996211385810146,0.10087279467961478,0.18467214351833822,0.11404474710248909,0.2190304099936239,-0.010506281375859183,0.16268806234778055,0.15891638460932933,0.19795220948536463,circulant
open_path,1,1.0,250.0,20,0.01256948998244603,0.03554241950114264,0.7274968943973035,0.1251310076936516,0.15543487438257766,0.15895053217873822,0.10419307425665028,0.19633001136897277,0.120880352895552,0.2321586388463203,-0.008743514847838436,0.1742299140795052,0.17004325586167346,0.21025599117811444,circulant
open_path,1,1.0,300.0,20,0.013101754562834309,0.03658553207708655,0.7242065709757808,0.12955599810539234,0.16000993082472037,0.1636154734347292,0.1061334353042932,0.20123631570643694,0.12442799591084629,0.23897211972898308,-0.007610453586726992,0.1806158417547315,0.17620697256898615,0.21743484744622452,circulant
open_path,1,1.0,400.0,20,-0.006707271299782676,0.03911492353412189,0.8656625880136584,0.13523111754496892,0.1706298775326664,0.1749272559140057,0.12107914246898674,0.2146141472831047,0.13303049782908505,0.2554937883721647,-0.019829041513996865,0.19437247521777837,0.19048573976425479,0.2228814027695811,cholesky
open_path,1,1.0,500.0,20,-0.00028617476430070865,0.041321744964494166,0.9945464748987844,0.14268081490649823,0.18011753781156073,0.18479646137903719,0.1262021341353431,0.23130417469239822,0.1405359337849094,0.26990846994542245,-0.011345128516784462,0.20663496394467012,0.20172213524860558,0.2221809597350492,cholesky
