geometry,n,variant,form,n_points,alpha,alpha_lo,alpha_hi,beta,beta_lo,beta_hi,r2_log,loco_rmse_log
point,1,R3,"a·CV^α·(L/√A)^β, L≤250",6,0.7870281952321081,0.3972121189195462,1.165269300417888,0.09516498093664028,-0.37353177978950225,0.590327501255745,0.995290525337481,0.06295661857622714
point,1,R4,"a·CVreal^α·(L/√A)^β, L≤250",6,0.7348907348331788,0.36112776198605434,1.0803130862287222,0.24157588443134106,-0.2532898092055258,0.7512849061262104,0.9954735834789281,0.061152981939121234
point,1,M2_nom,a·CV·L/√A,9,,,,,,,0.2709882483741647,0.5045421681444422
point,1,M2_real,a·CVreal·L/√A,9,,,,,,,0.6744773205646842,0.3371481883516902
point,2,M3_nom,a·CV^α·(L/√A)^β,9,0.7769405909771162,0.5070917403682927,1.0481873702802635,0.3064747391794406,0.07541488053376981,0.5324108667026031,0.9863239564660375,0.0821462176331955
point,2,R1,a·CVreal^α·(L/√A)^β,9,0.7675614437777737,0.5089565216180383,1.040238369557093,0.5643552667420842,0.3059935873056383,0.8046193406152112,0.9482232809194445,0.16293664300492747
point,2,R2,"a·σlog,real^α·(L/√A)^β",9,1.0684076863774299,0.6832976351538237,1.4696915749401729,0.46215321394307024,0.21506531131191878,0.6964615714005137,0.9659678652047039,0.1312557142597193
point,2,R3,"a·CV^α·(L/√A)^β, L≤250",6,0.7874498713763266,0.42759264480722525,1.115470095303305,0.20423802891858056,-0.20706235510623291,0.5903388834803759,0.9962476000260518,0.06206476093447691
point,2,R4,"a·CVreal^α·(L/√A)^β, L≤250",6,0.7359473041003296,0.4249715681139679,1.0405035303599628,0.35085943072775994,-0.044601924605651176,0.7389214511935807,0.998146186181406,0.04001862981067815
point,2,M2_nom,a·CV·L/√A,9,,,,,,,0.038934029247371105,0.5373676094096613
point,2,M2_real,a·CVreal·L/√A,9,,,,,,,0.6430592227189961,0.3274861726580982
point,3,M3_nom,a·CV^α·(L/√A)^β,9,0.8208994663923482,0.5060785733824981,1.1068823430740344,0.5147983523525671,0.2718996081104144,0.7728345170779377,0.9499139245458286,0.1922889123588197
point,3,R1,a·CVreal^α·(L/√A)^β,9,0.8009352961285611,0.4926464250156315,1.0671592322471901,0.783891619586786,0.4956501120954493,1.046494981821117,0.9063840479379077,0.2594420231750163
point,3,R2,"a·σlog,real^α·(L/√A)^β",9,1.1108263531231175,0.6444643010125312,1.52515136183822,0.6766576824438725,0.4094564468179298,0.9526519336029418,0.9152905139736175,0.2512063352769208
point,3,R3,"a·CV^α·(L/√A)^β, L≤250",6,0.8495796667189301,0.49894337495849916,1.169803573090823,0.2415085764032433,-0.15999892826176723,0.72924095992947,0.993689758480137,0.09239429472395815
point,3,R4,"a·CVreal^α·(L/√A)^β, L≤250",6,0.7957417822596028,0.48663025754510614,1.107328067909814,0.40004272000699775,-0.011286806125046123,0.8635515944494666,0.999688317790005,0.015793519917082232
point,3,M2_nom,a·CV·L/√A,9,,,,,,,0.6268743828157017,0.40564361910585867
point,3,M2_real,a·CVreal·L/√A,9,,,,,,,0.8430399613570186,0.2630944361539481
point,4,M3_nom,a·CV^α·(L/√A)^β,9,0.8106262697219224,0.5362595825797283,1.0750283527823408,0.5406572899693375,0.3037268626583609,0.7447592200827583,0.9275920233707972,0.23509032297777993
point,4,R1,a·CVreal^α·(L/√A)^β,9,0.7846173537075974,0.49913027259858966,1.0530647198524663,0.8042681562383079,0.5321111670433937,1.0050286193585327,0.8784121976450436,0.30223895270687184
point,4,R2,"a·σlog,real^α·(L/√A)^β",9,1.0887242915618325,0.6786016310659235,1.4944009531133107,0.699296112311715,0.43213396527598846,0.9069180977980167,0.887121299102112,0.2946695936452474
point,4,R3,"a·CV^α·(L/√A)^β, L≤250",6,0.8341945699614086,0.5216816536598545,1.135397220954182,0.20007119890592084,-0.18776046594050863,0.5355752911636026,0.9898766023173358,0.11579618841720411
point,4,R4,"a·CVreal^α·(L/√A)^β, L≤250",6,0.7826898299284427,0.5033034111076096,1.0715065255674914,0.35600502651357135,-0.046189995274874156,0.712211324789617,0.9992803954170776,0.030961706932074826
point,4,M2_nom,a·CV·L/√A,9,,,,,,,0.6440455671001087,0.40485019303234204
point,4,M2_real,a·CVreal·L/√A,9,,,,,,,0.8203492331734946,0.28761510155052716
