run,geometry,n,CV,L_m,seed,e_signed,e_pure_representativeness,e_transport,sd_pred_loglinear,sd_pred_lognormal,sd_pred_mc,z_total_loglinear,z_pure_loglinear,z_total_lognormal,z_pure_lognormal,z_total_mc,z_pure_mc,pit_pure_mc
source_heterogeneity_les_rice_paddy_l250_cv2p0_s0_wind3_n1_op,open_path,1,2.0,250.0,0,-0.111144392778251,-0.1095890300316694,-0.0015553627465815,0.3203854338909586,0.41956279437060073,0.3275490679312583,-0.346908382907565,-0.3420537216712774,-0.2649052639307119,-0.2611981603279846,-0.33932135261510354,-0.3345728648346161,0.427
source_heterogeneity_les_rice_paddy_l250_cv2p0_s1_wind3_n1_op,open_path,1,2.0,250.0,1,0.1308305027781977,0.1127335459938874,0.0180969567843102,0.3203854338909586,0.41956279437060073,0.3275490679312583,0.4083534672263694,0.3518685123252377,0.31182579707636043,0.2686929048677982,0.39942260744168767,0.3441730019440825,0.72325
source_heterogeneity_les_rice_paddy_l250_cv2p0_s2_wind3_n1_op,open_path,1,2.0,250.0,2,-0.1819706345189014,-0.2237827069019132,0.0418120723830118,0.3203854338909586,0.41956279437060073,0.3275490679312583,-0.5679741188884202,-0.6984796536601486,-0.43371489789003154,-0.5333711899731639,-0.5555522892133248,-0.6832036137830738,0.24725
source_heterogeneity_les_rice_paddy_l250_cv2p0_s3_wind3_n1_op,open_path,1,2.0,250.0,3,-0.2575812118512631,-0.2448830391601827,-0.0126981726910803,0.3203854338909586,0.41956279437060073,0.3275490679312583,-0.8039729170051141,-0.7643388658035162,-0.6139276773520129,-0.5836624277601625,-0.7863896956816279,-0.7476224576269456,0.2125
source_heterogeneity_les_rice_paddy_l250_cv2p0_s4_wind3_n1_op,open_path,1,2.0,250.0,4,0.0122959385102923,-0.0434270690432949,0.0557230075535872,0.3203854338909586,0.41956279437060073,0.3275490679312583,0.038378581575831426,-0.13554632779614775,0.029306551189167817,-0.10350552915074657,0.037539226070619776,-0.1325818733589216,0.53375
source_heterogeneity_les_rice_paddy_l250_cv2p0_s5_wind3_n1_op,open_path,1,2.0,250.0,5,-0.3713377671901411,-0.3820751040730872,0.010737336882946,0.3203854338909586,0.41956279437060073,0.3275490679312583,-1.1590344875557728,-1.1925482985694174,-0.8850588569160345,-0.9106505848457083,-1.1336859223427025,-1.166466772402088,0.04475
source_heterogeneity_les_rice_paddy_l250_cv2p0_s6_wind3_n1_op,open_path,1,2.0,250.0,6,-0.1063653839439307,-0.1866165840794499,0.0802512001355192,0.3203854338909586,0.41956279437060073,0.3275490679312583,-0.331991946862764,-0.5824752449356478,-0.25351481439981527,-0.4447882094965052,-0.32473114521654894,-0.5697362696162962,0.30475
source_heterogeneity_les_rice_paddy_l250_cv2p0_s7_wind3_n1_op,open_path,1,2.0,250.0,7,0.0290078734557829,-0.0710025939850676,0.1000104674408505,0.3203854338909586,0.41956279437060073,0.3275490679312583,0.09054055018511101,-0.22161617375287088,0.06913833601308361,-0.16922995779828573,0.08856039078050648,-0.2167693360677451,0.49325
source_heterogeneity_les_rice_paddy_l500_cv2p0_s0_wind3_n1_op,open_path,1,2.0,500.0,0,-0.1919508957248182,-0.1180720426797892,-0.0738788530450289,0.3385565509366224,0.495984593916932,0.3535455159351553,-0.5669684878162387,-0.34875131600065307,-0.38700979441503847,-0.238055867315032,-0.5429312127381765,-0.3339656065711355,0.437
source_heterogeneity_les_rice_paddy_l500_cv2p0_s1_wind3_n1_op,open_path,1,2.0,500.0,1,0.3256422498560029,0.3886953784263255,-0.0630531285703226,0.3385565509366224,0.495984593916932,0.3535455159351553,0.9618548185084829,1.1480958715788934,0.6565571871584015,0.7836843788971086,0.9210758874841161,1.0994210388956456,0.87075
source_heterogeneity_les_rice_paddy_l500_cv2p0_s2_wind3_n1_op,open_path,1,2.0,500.0,2,0.2926515619424523,0.2786240747280917,0.0140274872143605,0.3385565509366224,0.495984593916932,0.3535455159351553,0.8644096861597473,0.8229764686498415,0.5900416374454281,0.5617595347623962,0.8277620525559947,0.7880854435138553,0.81775
source_heterogeneity_les_rice_paddy_l500_cv2p0_s3_wind3_n1_op,open_path,1,2.0,500.0,3,-0.0082968631232114,-0.1032884393926766,0.0949915762694652,0.3385565509366224,0.495984593916932,0.3535455159351553,-0.02450657977303345,-0.30508474612860803,-0.01672806620400989,-0.20824928971478385,-0.02346759539932377,-0.2921503306850623,0.4605
source_heterogeneity_les_rice_paddy_l500_cv2p0_s4_wind3_n1_op,open_path,1,2.0,500.0,4,-0.2962654485799526,-0.2879719750634399,-0.0082934735165126,0.3385565509366224,0.495984593916932,0.3535455159351553,-0.8750840819955461,-0.8505875141590395,-0.5973279255314358,-0.5806066934241706,-0.8379838952173031,-0.814525887287049,0.16575
source_heterogeneity_les_rice_paddy_l500_cv2p0_s5_wind3_n1_op,open_path,1,2.0,500.0,5,-0.1805909489261728,-0.2454392634634423,0.0648483145372695,0.3385565509366224,0.495984593916932,0.3535455159351553,-0.5334144278897127,-0.7249579509964597,-0.3641059644615057,-0.49485259516860863,-0.5107997154156961,-0.6942225326044269,0.228
source_heterogeneity_les_rice_paddy_l500_cv2p0_s6_wind3_n1_op,open_path,1,2.0,500.0,6,0.0162335407425996,0.0628353992884991,-0.0466018585458995,0.3385565509366224,0.495984593916932,0.3535455159351553,0.04794927375556384,0.1855979425436132,0.032729929400424906,0.1266882077773223,0.04591640965848662,0.17772930628831365,0.663
source_heterogeneity_les_rice_paddy_l500_cv2p0_s7_wind3_n1_op,open_path,1,2.0,500.0,7,0.6505412308480786,0.7147556123376031,-0.0642143814895245,0.3385565509366224,0.495984593916932,0.3535455159351553,1.921514231664829,2.1111852964009103,1.3116158018348285,1.4410843020202984,1.8400494463275727,2.021679190151851,0.953
source_heterogeneity_les_rice_paddy_l100_cv0p5_s0_wind3_n2_op,open_path,2,0.5,100.0,0,0.0102596742457135,0.0056554500673567,0.0046042241783567,0.08310680730500773,0.08512159608932464,0.08366930842285188,0.12345167114963021,0.06805038300413596,0.12052962722817409,0.06643966193281904,0.12262171684105093,0.06759288649518795,0.55925
source_heterogeneity_les_rice_paddy_l100_cv0p5_s1_wind3_n2_op,open_path,2,0.5,100.0,1,0.0607197479157205,0.0325776520567374,0.028142095858983,0.08310680730500773,0.08512159608932464,0.08366930842285188,0.7306230366048695,0.391997396039715,0.713329527468007,0.3827189990957308,0.7257111246677478,0.3893620333527192,0.67875
