L_m,CV,seed,n,network,q_posterior_kg_s,q_rel_error,posterior_sigma_kg_s,ak_diagonal,chi2_per_dof_or_nan,converged
100,1.0,5,4,point,0.023956740,-0.137564,0.005746857,0.999967,1.7476,True
100,1.0,6,4,point,0.024818662,-0.106535,0.005746857,0.999967,0.6285,True
100,1.0,7,4,point,0.028036314,+0.009299,0.005746857,0.999967,1.7490,True
100,2.0,0,1,op,0.025062943,-0.097741,0.010876613,0.999882,nan,True
100,2.0,1,1,op,0.030148093,+0.085323,0.010876613,0.999882,nan,True
100,2.0,2,1,op,0.023391176,-0.157924,0.010876613,0.999882,nan,True
100,2.0,3,1,op,0.023715154,-0.146261,0.010876613,0.999882,nan,True
100,2.0,4,1,op,0.030865749,+0.111158,0.010876613,0.999882,nan,True
100,2.0,5,1,op,0.018119247,-0.347712,0.010876613,0.999882,nan,True
100,2.0,6,1,op,0.024531775,-0.116863,0.010876613,0.999882,nan,True
100,2.0,7,1,op,0.028290451,+0.018448,0.010876613,0.999882,nan,True
100,2.0,0,1,point,0.022290903,-0.197534,0.009821644,0.999904,nan,True
100,2.0,1,1,point,0.032700861,+0.177222,0.009821644,0.999904,nan,True
100,2.0,2,1,point,0.027116309,-0.023821,0.009821644,0.999904,nan,True
100,2.0,3,1,point,0.023843106,-0.141655,0.009821644,0.999904,nan,True
100,2.0,4,1,point,0.038750312,+0.395000,0.009821644,0.999904,nan,True
100,2.0,5,1,point,0.015331312,-0.448077,0.009821644,0.999904,nan,True
100,2.0,6,1,point,0.019896258,-0.283740,0.009821644,0.999904,nan,True
100,2.0,7,1,point,0.022515465,-0.189450,0.009821644,0.999904,nan,True
100,2.0,0,2,op,0.025176671,-0.093647,0.007707612,0.999941,1.1512,True
100,2.0,1,2,op,0.030272663,+0.089807,0.007707612,0.999941,0.4386,True
100,2.0,2,2,op,0.023619991,-0.149687,0.007707612,0.999941,0.0910,True
100,2.0,3,2,op,0.023886846,-0.140080,0.007707612,0.999941,0.6098,True
100,2.0,4,2,op,0.030969721,+0.114901,0.007707612,0.999941,0.0048,True
100,2.0,5,2,op,0.018302240,-0.341125,0.007707612,0.999941,1.4807,True
100,2.0,6,2,op,0.024478623,-0.118777,0.007707612,0.999941,0.1779,True
100,2.0,7,2,op,0.028813260,+0.037269,0.007707612,0.999941,2.5741,True
100,2.0,0,2,point,0.028587308,+0.029135,0.007962775,0.999937,1.5190,True
100,2.0,1,2,point,0.033136170,+0.192893,0.007962775,0.999937,0.1085,True
100,2.0,2,2,point,0.025064816,-0.097674,0.007962775,0.999937,0.0011,True
100,2.0,3,2,point,0.022459020,-0.191482,0.007962775,0.999937,0.5631,True
100,2.0,4,2,point,0.030459698,+0.096540,0.007962775,0.999937,0.2264,True
100,2.0,5,2,point,0.018229131,-0.343757,0.007962775,0.999937,1.1428,True
100,2.0,6,2,point,0.029368214,+0.057247,0.007962775,0.999937,0.0144,True
100,2.0,7,2,point,0.033109550,+0.191934,0.007962775,0.999937,2.5587,True
100,2.0,0,3,op,0.025699877,-0.074812,0.006541535,0.999957,0.9510,True
100,2.0,1,3,op,0.030548580,+0.099740,0.006541535,0.999957,0.1844,True
100,2.0,2,3,op,0.023754181,-0.144856,0.006541535,0.999957,0.0012,True
100,2.0,3,3,op,0.024263543,-0.126519,0.006541535,0.999957,0.8516,True
100,2.0,4,3,op,0.030606748,+0.101834,0.006541535,0.999957,0.1679,True
100,2.0,5,3,op,0.018780688,-0.323901,0.006541535,0.999957,1.5037,True
100,2.0,6,3,op,0.025561921,-0.079778,0.006541535,0.999957,0.4693,True
100,2.0,7,3,op,0.029560412,+0.064166,0.006541535,0.999957,2.5650,True
100,2.0,0,3,point,0.027088178,-0.024833,0.006713806,0.999955,0.6641,True
100,2.0,1,3,point,0.032667460,+0.176019,0.006713806,0.999955,0.1038,True
100,2.0,2,3,point,0.025450426,-0.083792,0.006713806,0.999955,0.0732,True
100,2.0,3,3,point,0.025718489,-0.074142,0.006713806,0.999955,0.8566,True
100,2.0,4,3,point,0.031246437,+0.124863,0.006713806,0.999955,0.7445,True
100,2.0,5,3,point,0.019604544,-0.294242,0.006713806,0.999955,1.3528,True
100,2.0,6,3,point,0.027104193,-0.024257,0.006713806,0.999955,0.4920,True
100,2.0,7,3,point,0.031779401,+0.144049,0.006713806,0.999955,2.6002,True
