run,L_m,CV,n,geometry,abs_error_pct,Q_hat_kg_s,inverse_crime_flag,posterior_sigma_kg_s,dfs,prior_influence,n_obs,dof,Q_hat_recomputed_kg_s,posterior_sigma_recomputed_kg_s,bias_total_pct,bias_aggregation_pct,bias_transport_pct,chi2,chi2_per_dof
source_heterogeneity_les_rice_paddy_l500_cv0p5_wind3_n3_op,500,0.5,3,Open path,1.169748706742922,0.027453067204240955,False,0.0065415347631559186,0.9999572083229424,4.279167705756315e-05,3,2,0.027453067204240872,0.006541534763156087,-1.1697487067432095,-1.4251619560685331,0.25541324932532367,2.1541933581351294,1.0770966790675647
source_heterogeneity_les_rice_paddy_l500_cv0p5_wind3_n4_op,500,0.5,4,Open path,0.9060291776104852,0.028029676784956645,False,0.005758145032167979,0.9999668437657885,3.31562342115177e-05,4,3,0.02802967678495653,0.005758145032168126,0.9060291776100857,-0.053146046364529055,0.9591752239746147,3.3692925781191967,1.1230975260397322
source_heterogeneity_les_rice_paddy_l100_cv1p0_wind3_n1_op,100,1.0,1,Open path,3.0428964713851774,0.02693274421817863,False,0.010876612596965455,0.9998816992984155,0.00011830070158447281,1,0,0.026932744218178633,0.010876612596965722,-3.0428964713851525,-3.2109419216771897,0.16804545029203705,0.0007254585333753031,
source_heterogeneity_les_rice_paddy_l100_cv1p0_wind3_n2_op,100,1.0,2,Open path,2.389205333418795,0.02711432654248293,False,0.007707611625065145,0.9999405927230371,5.940727696285286e-05,2,1,0.027114326542482838,0.007707611625065332,-2.38920533341912,-1.7757531729042046,-0.6134521605149149,1.1270669889354472,1.1270669889354472
source_heterogeneity_les_rice_paddy_l100_cv1p0_wind3_n3_op,100,1.0,3,Open path,1.0953867642501294,0.027473723464626603,False,0.0065415347631559186,0.9999572083229424,4.279167705756315e-05,3,2,0.027473723464626475,0.006541534763156087,-1.0953867642505792,-3.0390230962237914,1.9436363319732122,1.675592267144611,0.8377961335723055
source_heterogeneity_les_rice_paddy_l100_cv1p0_wind3_n4_op,100,1.0,4,Open path,0.5719847055705595,0.027936885911513394,False,0.005758145032167979,0.9999668437657885,3.31562342115177e-05,4,3,0.027936885911513224,0.005758145032168126,0.5719847055699601,0.40981911443543745,0.1621655911345226,2.679851981637276,0.8932839938790921
source_heterogeneity_les_rice_paddy_l250_cv1p0_wind3_n1_op,250,1.0,1,Open path,3.1571442689831497,0.026901008464961865,False,0.010876612596965455,0.9998816992984155,0.00011830070158447281,1,0,0.02690100846496187,0.010876612596965722,-3.1571442689831124,-2.507626595498624,-0.6495176734844885,0.0007237498765501177,
source_heterogeneity_les_rice_paddy_l250_cv1p0_wind3_n2_op,250,1.0,2,Open path,2.777764176316946,0.027006392667102683,False,0.007707611625065145,0.9999405927230371,5.940727696285286e-05,2,1,0.027006392667102586,0.007707611625065332,-2.7777641763172833,-0.5316760823473916,-2.2460880939698917,1.0842266299784975,1.0842266299784975
source_heterogeneity_les_rice_paddy_l250_cv1p0_wind3_n3_op,250,1.0,3,Open path,1.346503504826663,0.027403968256429254,False,0.0065415347631559186,0.9999572083229424,4.279167705756315e-05,3,2,0.027403968256429136,0.006541534763156087,-1.3465035048270753,-1.8263110001938503,0.47980749536677497,1.7821089779340307,0.8910544889670153
source_heterogeneity_les_rice_paddy_l250_cv1p0_wind3_n4_op,250,1.0,4,Open path,0.23256862950175972,0.027842602913903003,False,0.005758145032167979,0.9999668437657885,3.31562342115177e-05,4,3,0.02784260291390283,0.005758145032168126,0.23256862950114776,1.337074896486888,-1.1045062669857402,2.8603337405907587,0.9534445801969196
source_heterogeneity_les_rice_paddy_l500_cv1p0_wind3_n1_op,500,1.0,1,Open path,9.343633780978879,0.025182525408319684,False,0.010876612596965455,0.9998816992984155,0.00011830070158447281,1,0,0.02518252540831969,0.010876612596965722,-9.343633780978864,-5.364490652559218,-3.979143128419647,0.0006342346163407489,
source_heterogeneity_les_rice_paddy_l500_cv1p0_wind3_n2_op,500,1.0,2,Open path,7.800314011025218,0.025611228774017412,False,0.007707611625065145,0.9999405927230371,5.940727696285286e-05,2,1,0.025611228774017284,0.007707611625065332,-7.800314011025691,-3.1575622381766273,-4.6427517728490635,1.9208732003464848,1.9208732003464848
source_heterogeneity_les_rice_paddy_l500_cv1p0_wind3_n3_op,500,1.0,3,Open path,7.350496908035408,0.02573617896888592,False,0.0065415347631559186,0.9999572083229424,4.279167705756315e-05,3,2,0.025736178968885796,0.006541534763156087,-7.350496908035871,-4.604785602735113,-2.7457113053007567,3.458904241363491,1.7294521206817455
source_heterogeneity_les_rice_paddy_l500_cv1p0_wind3_n4_op,500,1.0,4,Open path,5.070937813922382,0.026369394894048638,False,0.005758145032167979,0.9999668437657885,3.31562342115177e-05,4,3,0.02636939489404848,0.005758145032168126,-5.070937813922968,-2.4854382759943854,-2.585499537928583,5.198707091162979,1.732902363720993
source_heterogeneity_les_rice_paddy_l100_cv2p0_wind3_n1_op,100,2.0,1,Open path,9.980119182064842,0.02500572249360603,False,0.010876612596965455,0.9998816992984155,0.00011830070158447281,1,0,0.02500572249360603,0.010876612596965722,-9.980119182064842,-9.550159157858351,-0.4299600242064908,0.0006253601379702993,
source_heterogeneity_les_rice_paddy_l100_cv2p0_wind3_n2_op,100,2.0,2,Open path,9.509804347096248,0.025136366548463605,False,0.007707611625065145,0.9999405927230371,5.940727696285286e-05,2,1,0.025136366548463504,0.007707611625065332,-9.50980434709661,-7.677560667824031,-1.8322436792725791,1.2553493530186628,1.2553493530186628
source_heterogeneity_les_rice_paddy_l100_cv2p0_wind3_n3_op,100,2.0,3,Open path,7.835129873227728,0.025601557623814802,False,0.0065415347631559186,0.9999572083229424,4.279167705756315e-05,3,2,0.025601557623814646,0.006541534763156087,-7.83512987322829,-9.334618637358764,1.4994887641304737,1.8348979957513227,0.9174489978756614
source_heterogeneity_les_rice_paddy_l100_cv2p0_wind3_n4_op,100,2.0,4,Open path,6.086109090525786,0.026087400616833747,False,0.005758145032167979,0.9999668437657885,3.31562342115177e-05,4,3,0.026087400616833557,0.005758145032168126,-6.086109090526474,-4.480604597679162,-1.6055044928473126,2.9598861680322734,0.9866287226774245
source_heterogeneity_les_rice_paddy_l250_cv2p0_wind3_n1_op,250,2.0,1,Open path,11.580421487353053,0.024561190519243072,False,0.010876612596965455,0.9998816992984155,0.00011830070158447281,1,0,0.02456119051924308,0.010876612596965722,-11.580421487353018,-10.95890300316693,-0.621518484186089,0.000603323453310365,
source_heterogeneity_les_rice_paddy_l250_cv2p0_wind3_n2_op,250,2.0,2,Open path,11.593582403048023,0.024557534680081324,False,0.007707611625065145,0.9999405927230371,5.940727696285286e-05,2,1,0.024557534680081233,0.007707611625065332,-11.593582403048337,-8.740285059471633,-2.853297343576705,1.029202332185061,1.029202332185061
source_heterogeneity_les_rice_paddy_l250_cv2p0_wind3_n3_op,250,2.0,3,Open path,9.674155644616377,0.025090713045038467,False,0.0065415347631559186,0.9999572083229424,4.279167705756315e-05,3,2,0.025090713045038317,0.006541534763156087,-9.674155644616901,-10.406410290957052,0.7322546463401481,1.6982026745485985,0.8491013372742993
source_heterogeneity_les_rice_paddy_l250_cv2p0_wind3_n4_op,250,2.0,4,Open path,8.138512046915812,0.02551728412360773,False,0.005758145032167979,0.9999668437657885,3.31562342115177e-05,4,3,0.025517284123607528,0.005758145032168126,-8.138512046916524,-6.069289996042292,-2.069222050874233,2.795190594476534,0.9317301981588447
source_heterogeneity_les_rice_paddy_l500_cv2p0_wind3_n1_op,500,2.0,1,Open path,19.364150233694318,0.022399026348084387,False,0.010876612596965455,0.9998816992984155,0.00011830070158447281,1,0,0.02239902634808439,0.010876612596965722,-19.36415023369433,-11.807204267978902,-7.5569459657154265,0.0005017757417644674,
source_heterogeneity_les_rice_paddy_l500_cv2p0_wind3_n2_op,500,2.0,2,Open path,17.765923474097036,0.02284298177736532,False,0.007707611625065145,0.9999405927230371,5.940727696285286e-05,2,1,0.022842981777365177,0.007707611625065332,-17.76592347409757,-9.045343673845963,-8.720579800251608,2.5269479175717513,2.5269479175717513
source_heterogeneity_les_rice_paddy_l500_cv2p0_wind3_n3_op,500,2.0,3,Open path,16.590846049098925,0.023169394784481295,False,0.0065415347631559186,0.9999572083229424,4.279167705756315e-05,3,2,0.023169394784481125,0.006541534763156087,-16.590846049099557,-9.847682846498875,-6.743163202600684,5.107618547878952,2.553809273939476
source_heterogeneity_les_rice_paddy_l500_cv2p0_wind3_n4_op,500,2.0,4,Open path,14.336119436015093,0.023795712743063722,False,0.005758145032167979,0.9999668437657885,3.31562342115177e-05,4,3,0.023795712743063507,0.005758145032168126,-14.33611943601589,-7.27721804594076,-7.058901390075131,7.5073856798932,2.5024618932977334
source_heterogeneity_les_rice_paddy_l100_cv0p5_wind3_n1_point,100,0.5,1,Point,1.1557765619804679,0.02809905161338693,False,0.009821643975094635,0.9999035353096265,9.646469037349892e-05,1,0,0.02809905161338694,0.009821643975094758,1.15577656198048,-12.046923659507627,13.202700221488104,0.000789632873262411,
source_heterogeneity_les_rice_paddy_l100_cv0p5_wind3_n2_point,100,0.5,2,Point,7.444779959953066,0.02984601097727576,False,0.007962775240819868,0.9999365942104642,6.340578953578646e-05,2,1,0.02984601097727568,0.00796277524082009,7.444779959952765,-6.643858459823186,14.08863841977595,1.0103935098838717,1.0103935098838717
source_heterogeneity_les_rice_paddy_l100_cv0p5_wind3_n3_point,100,0.5,3,Point,7.074342614856303,0.02974311089155478,False,0.006713805683776611,0.9999549248132404,4.5075186759557795e-05,3,2,0.02974311089155473,0.006713805683776796,7.074342614856103,-6.383451143187928,13.457793758044032,1.1826560683061647,0.5913280341530823
source_heterogeneity_les_rice_paddy_l100_cv0p5_wind3_n4_point,100,0.5,4,Point,1.9391876548884734,0.027239332453225077,False,0.005746856675797012,0.9999669736383479,3.302636165214423e-05,4,3,0.027239332453224876,0.00574685667579715,-1.9391876548892102,5.979242996713209,-7.918430651602419,3.1483741192689356,1.0494580397563118
source_heterogeneity_les_rice_paddy_l250_cv0p5_wind3_n1_point,250,0.5,1,Point,1.8872599018170622,0.028302243055526744,False,0.009821643975094635,0.9999035353096265,9.646469037349892e-05,1,0,0.028302243055526748,0.009821643975094758,1.8872599018170746,-8.995583043133806,10.88284294495088,0.0008010942392818643,
source_heterogeneity_les_rice_paddy_l250_cv0p5_wind3_n2_point,250,0.5,2,Point,6.161948063682859,0.029489665933129825,False,0.007962775240819868,0.9999365942104642,6.340578953578646e-05,2,1,0.029489665933129742,0.00796277524082009,6.1619480636825585,-7.905432506221972,14.06738056990453,1.0593377635983041,1.0593377635983041
source_heterogeneity_les_rice_paddy_l250_cv0p5_wind3_n3_point,250,0.5,3,Point,7.72002010960443,0.02992246718604592,False,0.006713805683776611,0.9999549248132404,4.5075186759557795e-05,3,2,0.029922467186045864,0.006713805683776796,7.720020109604231,-3.8718664213043064,11.591886530908537,1.3403320816830075,0.6701660408415038
source_heterogeneity_les_rice_paddy_l250_cv0p5_wind3_n4_point,250,0.5,4,Point,1.5336146055814046,0.027351992534861598,False,0.005746856675797012,0.9999669736383479,3.302636165214423e-05,4,3,0.027351992534861383,0.00574685667579715,-1.5336146055821789,7.509263507149152,-9.04287811273133,3.3350294339446216,1.1116764779815405
source_heterogeneity_les_rice_paddy_l500_cv0p5_wind3_n1_point,500,0.5,1,Point,1.6030590201150905,0.028223297734607574,False,0.009821643975094635,0.9999035353096265,9.646469037349892e-05,1,0,0.028223297734607578,0.009821643975094758,1.6030590201151158,-1.9399867488261155,3.5430457689412314,0.0007966313818158939,
source_heterogeneity_les_rice_paddy_l500_cv0p5_wind3_n2_point,500,0.5,2,Point,0.04947794248293326,0.027791743982862913,False,0.007962775240819868,0.9999365942104642,6.340578953578646e-05,2,1,0.02779174398286282,0.00796277524082009,0.04947794248260853,-7.10361192897442,7.153089871457028,1.599790120858241,1.599790120858241
source_heterogeneity_les_rice_paddy_l500_cv0p5_wind3_n3_point,500,0.5,3,Point,3.2067531468674324,0.02866877188913684,False,0.006713805683776611,0.9999549248132404,4.5075186759557795e-05,3,2,0.028668771889136822,0.006713805683776796,3.206753146867383,0.38956095330479873,2.8171921935625845,2.1998112733930926,1.0999056366965463
